Municipio,Circunscripcion,Recinto,Sector,Colegios
SANTO DOMINGO ESTE,2,ESC PRIM. E INT PROF DGO. MORENO JIMENEZ,LOS TRES BRAZOS ( SAN LORENZO DE LOS MINA ),1399 1399A 1399B 1399D 1419 1419A 1419B 1432 1432A 1557 1557A 1557B 1656 1659 1663 1663A 1663B 1845 1901 2060 2271
SANTO DOMINGO ESTE,1,CENTRO EDUC. UNIVERSO PRIMERO,MAQUITERIA VILLA DUARTE,1061 1061A 1846 2081
SANTO DOMINGO ESTE,1,ESCUELA SANTA ISABEL,VILLA DUARTE,1034 1034A 1042 1042A 1043 1044 1044A 1045 1045A 1046 1046A 1047 1047A 1048 1048A
SANTO DOMINGO ESTE,3,CENTRO EDUCATIVO JUAN FELIX PEPEN,EL TAMARINDO,1411 1411A 1437 1437A 1438 1438A 1439 1439A 1439B 1847 2094
SANTO DOMINGO ESTE,3,ESCUELA BASICA LA UREÑA,LA UREÑA,1178 1178A 1612 1612A 1612B 1817 1848 2029 2097 2216 2357
SANTO DOMINGO ESTE,2,ESCUELA PRIMARIA PUERTO RICO,PUERTO RICO,0931 0931A 0931B 0933 0933A 0934 0934A 0934B 1851 1903 2103 2275
SANTO DOMINGO ESTE,1,ESCUELA RAMON MATIAS MELLA,OZAMA,0963 0963A 0964 0964A 0964B 0965 0965A 0966 0966A 1560
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA SANTIAGO HIRUJO SOSA,CANCINO ADENTRO,1192 1192A 1192B 1192C 1325 1325A 1325B 1658 1658A 1658B 1826 1852 2030 2106 2195 2276
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA SAN JOSE,San Jose de Mendoza,1177 1177A 1177B 1177C 1177D 1473 1473A 1473B 1475 1475A 1475B 1475C 1476 1476A 1476B 1611 1611A 1611B 1611C 1611D 1854 1905 2026 2176 2277 2365
SANTO DOMINGO ESTE,1,COLEGIO DIVINA PROVIDENCIA,MANDINGA ADENTRO VILLA FARO,1173 1173A 1610 2024 2335
SANTO DOMINGO ESTE,3,COLEGIO VILLA CARMEN,VILLA CARMEN I,1174 1174A 1174B 1174C 1174D 1174E 1174L 1174M
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA REPUBLICA DE KOREA,LOS FRAILES,1179 1179A 1179B 1179C 1179D 1179E 1179F 1414 1414A 1414B 1414C 1650 1657 1827 1855 1906 2022 2102 2177 2217 2278
SANTO DOMINGO ESTE,3,ESC. PROF. LIC. LILLIAN PORTALATIN SOSA,INVIVIENDA,1469 1469A 1469B 1469C 1469D 1469E 1471 1471A 1471B 1472 1472A 1472B 1472C 1828 1856 1907 2033 2117 2144 2197 2252 2336
SANTO DOMINGO ESTE,1,ESCUELA PRIMARIA RURAL BELICE,LOS TRINITARIOS,1169 1169A 1169B 1169C 1170 1170A 1170B 1170D 1171 1171A 1171B 1171C 1301 1301A 1301B 1319 1319A 1319B 1319C 1319D 1378 1378A 1378B 1378C 1398 1398A 1398B 1428 1428A 1428B 1607 1607A
SANTO DOMINGO ESTE,3,ESCUELA PRIMARIA RURAL,LA GRUA,1172 1172A 1609
SANTO DOMINGO ESTE,3,PARROQUIA EPIFANIA DEL SEÑOR,VILLA CARMEN,1175 1175A 1175B 1176 1176A 1474 1474A 1474B 1908 2028 2034
SANTO DOMINGO ESTE,1,CLUB EL ROSAL,EL ROSAL,1565 1565A 1565B 1566 1566A 1811 1909 2037 2096 2178 2337
SANTO DOMINGO ESTE,1,ESC. PRIMARIA PATRIA MELLA,VILLA OLIMPICA ALMA ROSA,1296 1296A 1296B 1296C 1296D 1408 1408A 1408B 1408C 1799 1829 1857 1910 1974 2062 2145 2279
SANTO DOMINGO ESTE,1,ESCUELA BASICA SOCORRO SANCHEZ,VILLA DUARTE,1004 1004A 1005 1005A 1006 1006A 1007 1007A 1007B 1008 1008A 1009 1009A 1010 1010A 1011 1011A 1013 1013A 1014 1014A 1032 1032A 1033 1033A 1572 1572A
SANTO DOMINGO ESTE,1,POLITECNICO MA. DE LA ALTAGRACIA,VILLA DUARTE,1012 1012A 1012B 1015 1015A 1016 1016A 1017 1017A 1018 1018A 1019 1019A 1020 1020A 1021 1021A 1022 1022A 1023 1023A 1024 1024A 1025 1025A 1030 1031 2064
SANTO DOMINGO ESTE,1,COLEGIO HOGAR MASONICO JAIME MANUEL FERNANDEZ,VILLA FARO,0997 0997A 0997B 0997C 0997D 0997E 0998 0998A 0998B 0998C 0999 0999A 0999B 0999C 0999D 1298 1298A 1298B 1975 2124 2179 2280
SANTO DOMINGO ESTE,2,ESCUELA PRIMARIA LA ABEJITA,RIVIERA DEL OZAMA,1673 1858 1990 2146
SANTO DOMINGO ESTE,2,ESCUELA BASICA OTTO MARTINEZ,MIRADOR OZAMA,1674 1674A 1674B 1859 2036 2075 2338
SANTO DOMINGO ESTE,2,ESCUELA SANTO TOMAS DE AQUINO,LOS TRES BRAZOS ( SAN LORENZO DE LOS MINA ),1379 1379A 1379B 1556 1556A 1556B 1682 1806 1830 1911 2093 2281
SANTO DOMINGO ESTE,1,COLEGIO CRISTO DE LOS MILAGROS,LOS TRINITARIOS,1305 1305A 1305B 1305C 1696 1752 1953 1984 2042 2113 2180 2218 2318
SANTO DOMINGO ESTE,1,LICEO EUGENIO MARIA DE HOSTOS,ALMA ROSA,1392 1392A 1392B 1392C 1392D 1392E 1392F 1392G 1569 1569A 1569B 1860 1912 1973 2063 2147 2339
SANTO DOMINGO ESTE,3,CENTRO EDUCATIVO NIÑO KEYTEL,VILLA CARMEN,1174F 1174G 1174H 1174I 1174J 1174K 1954 2035 2109
